Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation,Eclipsing,CV_Types,CV_subtypes,CV_subsubtypes,eclipse_clear,Clarity,manual_label,
1RXS J210201.7+335932,000-BKR-571,21 02 01.45 +33 59 29.9,Cyg,AM,0.1178,16.6 - <19.5 CR,315.5060417,33.99163889,ZTF20abragvw,0.169130986,0,polar,,,,,,
Gaia19eyo,000-BNH-549,21 19 19.39 +41 12 35.2,Cyg,AM,0.0680613,16.9 - 20.7 G,319.8307917,41.20977778,ZTF19abhpnxh,0.6844371,0,polar,,,,,,
MGAB-V3397,--,21 12 51.45 +32 37 57.6,Cyg,AM,--,18.1 - 20.3 g,318.214375,32.63266667,ZTF18adlhiaq,0.321861749,0,polar,,,,,,
ZTF18aazucqe,--,19 31 32.58 +52 09 22.7,Cyg,AM,0.0612348,18.1 - 21.8 g,292.88575,52.15630556,ZTF18aazucqe,0.242599147,0,polar,,,,,,
MGAB-V539,--,20 48 44.71 +19 30 19.5,Del,AM,0.06486074,18.3 - 21.9 g,312.1862917,19.50541667,ZTF18abnbluc,0.257595041,0,polar,,,,,,
MQ Dra,000-BDB-461,15 53 31.12 +55 16 14.5,Dra,AM,0.1829804,17.7 - 18.8 V,238.3796667,55.27069444,ZTF18aajqtnw,1.062296118,0,polar,,,,,,
MT Dra,000-BFR-392,18 46 58.80 +55 38 28.8,Dra,AM,0.0893869,16 - 20 R,281.745,55.64133333,ZTF18aapovzp,0.054809874,0,polar,,,,,,
DDE 23,000-BKD-607,18 19 33.13 +58 06 26.1,Dra,AM,0.0920127,16.4 - 20 R,274.8880417,58.10725,ZTF18aainbrb,0.462132714,0,polar,,,,,,
DDE 32,000-BMB-184,16 19 35.76 +52 46 31.9,Dra,AM,0.0697944,16.8 - 20.4: CV,244.899,52.77552778,ZTF18aauxwft,0.462061162,0,polar,,,,,,
ZTF18aaxcqso,--,19 38 32.47 +62 23 30.1,Dra,AM,0.077386,17.0 - 21.0 r,294.6352917,62.39169444,ZTF18aaxcqso,0.450697008,0,polar,,,,,,
IW Eri,000-BFQ-214,04 25 55.19 -19 45 30.5,Eri,AM,0.0605,16.1 - 20.2 V,66.47995833,-19.75847222,ZTF19abtsrif,1.001106829,0,polar,,,,,,
6dFGS g0325394-081442,--,03 25 39.43 -08 14 42.8,Eri,AM,0.087193,14.5 - 18.3 V,51.41429167,-8.245222222,ZTF18abuhqfi,0.39244519,0,polar,,,,,,
VY For,000-BCY-959,03 32 04.60 -25 56 55.1,For,AM,0.1586,16.3 - 19.2 V G,53.01916667,-25.94863889,ZTF19aakuyyr,0.288442495,0,polar,,,,,,
1RXS J073346.0+261933,000-BKV-604,07 33 46.26 +26 19 26.1,Gem,AM,0.1334,16.9 - <20.1 CV,113.44275,26.32391667,ZTF17aacbuuj,0.20517188,0,polar,,,,,,
SDSS J074500.58+332859.6,--,07 45 00.58 +33 28 59.5,Gem,AM,--,18.0 - 22.3 r,116.2524167,33.48319444,ZTF17aadnfyi,0.297836584,0,polar,,,,,,
V0884 Her,000-BDB-750,18 02 06.48 +18 04 43.8,Her,AM,0.07848,12.87 - 17.7 V,270.527,18.07883333,ZTF20abbndvn,0.368317595,0,polar,,,,,,
V1007 Her,000-BDR-827,17 24 06.29 +41 14 07.7,Her,AM,0.083284,16.3 - 19.7 CV,261.0262083,41.23547222,ZTF18aaldiqd,0.843440146,0,polar,,,,,,
V1189 Her,000-BFT-553,16 29 36.55 +26 35 19.7,Her,AM,0.0931,18.95 - 19.58 V,247.4022917,26.58880556,ZTF18aaojabr,0.658421911,0,polar,,,,,,
V1237 Her,000-BFT-066,17 00 53.30 +40 03 57.8,Her,AM,0.0808688,17.9 - 19.5 V,255.2220833,40.06605556,ZTF18aabpzjg,0.401794114,0,polar,,,,,,
CSS 160906:160346+193540,000-BLZ-422,16 03 46.08 +19 35 40.0,Her,AM,0.05693,16.7 - 19.1 CV,240.942,19.59444444,ZTF18acviwua,0.452099194,0,polar,,,,,,
SDSS J162608.16+332827.8,000-BDB-536,16 26 08.16 +33 28 27.8,Her,AM,--,18.4 - ? s,246.534,33.47438889,ZTF22aajarut,0.018946851,0,polar,,,,,,
1RXS J100211.4-192534,000-BFT-923,10 02 11.71 -19 25 37.4,Hya,AM,0.0743,17 - ? B,150.5487917,-19.42705556,ZTF18aalurkz,0.388769034,0,polar,,,,,,
CSS 091017:081210+040352,--,08 12 10.24 +04 03 51.4,Hya,AM,--,18.7 - 22.4 CV,123.0426667,4.064277778,ZTF18acurptp,0.135656223,0,polar,,,,,,
CSS 110114:091937-055519,000-BKB-233,09 19 36.62 -05 55 19.6,Hya,AM,--,16.3 - 21.3 CV,139.9025833,-5.922111111,ZTF18acrxpcz,0.261182406,0,polar,,,,,,
RX J1007.5-2017,000-BFT-963,10 07 34.65 -20 17 32.5,Hya,AM,0.144863923,16.0 - 20.0 V,151.894375,-20.29236111,ZTF18aaqphee,0.138958684,0,polar,,,,,,
SDSS J085909.18+053654.5,000-BJQ-833,08 59 09.18 +05 36 54.5,Hya,AM,0.09986,17 - ? V,134.78825,5.615138889,ZTF17aaaizfe,0.276434767,0,polar,,,,,,
GG Leo,000-BCZ-853,10 15 34.68 +09 04 42.0,Leo,AM,0.05547185,15.26 V - 19.2 CV,153.8945,9.078333333,ZTF18aaarims,0.615062706,0,polar,,,,,,
ST LMi,000-BBR-984,11 05 39.77 +25 06 28.6,LMi,AM,0.07908903,14.4 - 18.5 V,166.4157083,25.10794444,ZTF17aaajlfw,0.634030774,0,polar,,,,,,
WX LMi,000-BCW-229,10 26 27.49 +38 45 02.7,LMi,AM,0.115923,16.4 (1.27) R,156.6145417,38.75075,ZTF17aabtvrf,0.885629967,0,polar,,,,,,
CSS 101108:054711-192525,000-BNF-012,05 47 11.13 -19 25 25.2,Lep,AM,--,17.8 - 20.5 G,86.796375,-19.42366667,ZTF19aakvlvn,0.316698608,0,polar,,,,,,
CSS 100216:150354-220711,--,15 03 53.94 -22 07 11.1,Lib,AM,0.092622,16.4 - 20 CV,225.97475,-22.11975,ZTF19aapzvoj,0.896517944,0,polar,,,,,,
FR Lyn,000-BJQ-831,08 54 14.02 +39 05 37.4,Lyn,AM,0.078653,15.5 - 20 CV,133.5584167,39.09372222,ZTF18aaadlpa,0.933155832,0,polar,,,,,,
MGAB-V410,--,07 00 55.18 +53 25 27.1,Lyn,AM,--,17.5 - 21.6 g,105.2299167,53.42419444,ZTF17aaairls,0.545299393,0,polar,,,,,,
BMAM-V796,000-BNS-580,18 45 53.30 +36 01 38.8,Lyr,AM,0.05665282,18.0 - 21.9 r,281.4720833,36.02744444,ZTF18aaowqsq,0.062235355,0,polar,,,,,,
BMAM-V800,000-BNS-649,18 37 35.04 +37 32 04.3,Lyr,AM,0.1300161,17.2 - 20.6 r,279.396,37.53452778,ZTF18aalgarl,0.07781696,0,polar,,,,,,
ZTF18aapobha,--,18 44 14.98 +44 54 08.7,Lyr,AM,0.0752759,17.2 - 20.1 g,281.0624167,44.90241667,ZTF18aapobha,0.377613419,0,polar,,,,,,
ATO J108.2755-08.7561,000-BNZ-306,07 13 06.13 -08 45 22.0,Mon,AM,0.0829019,15.8 - 19.2 r,108.2755417,-8.756111111,ZTF17aaagrxo,0.366156752,0,polar,,,,,,
MG1 400618,000-BMP-550,07 06 48.94 +03 24 47.5,Mon,AM,--,18.1 (0.737)R V,106.7039167,3.413194444,ZTF17aaaufmh,1.913577667,0,polar,,,,,,
RX J0649.8-0737,000-BFT-919,06 49 50.84 -07 37 41.1,Mon,AM,0.183,18 - ? B,102.4618333,-7.628083333,ZTF17aabskxk,1.138293444,0,polar,,,,,,
RX J0749.1-0549,000-BFT-922,07 49 10.39 -05 49 25.7,Mon,AM,0.15,19 - ? B,117.2932917,-5.823805556,ZTF18actbrbg,0.142582551,0,polar,,,,,,
ZTF18acqxpha,--,08 03 52.37 -03 59 25.2,Mon,AM,--,17.4 - 20.8 r,120.9682083,-3.990333333,ZTF18acqxpha,0.232396371,0,polar,,,,,,
CSS 160528:162350-121731,000-BLY-008,16 23 50.47 -12 17 31.1,Oph,AM,--,16.8 - 20.1 CV,245.9602917,-12.29197222,ZTF19aaclwhr,0.352565804,0,polar,,,,,,
ZTF18abttrrr,--,17 27 29.07 +13 26 02.2,Oph,AM,--,16.2 - 19.3 r,261.871125,13.43394444,ZTF18abttrrr,0.285942547,0,polar,,,,,,
V0388 Peg,000-BFB-996,21 57 32.33 +08 55 15.1,Peg,AM,0.14063,16.7 - 20.1 CV,329.3847083,8.920861111,ZTF18abcoxgp,0.304812258,0,polar,,,,,,
CSS 130604:215427+155714,000-BLD-643,21 54 27.19 +15 57 13.1,Peg,AM,0.067293,17.0 - 21.4 CV,328.6132917,15.95363889,ZTF18abadsmu,0.044752075,0,polar,,,,,,
CSS 131214:233546+123448,--,23 35 45.98 +12 34 47.9,Peg,AM,0.1618,17.62 (1.68) CV,353.9415833,12.57997222,ZTF18abuescl,0.381892179,0,polar,,,,,,
PTF1 J2313+16,--,23 13 30.83 +16 54 16.8,Peg,AM,0.0567,16.8 - 18.4 r,348.3784583,16.90466667,ZTF18admesgz,0.176189095,0,polar,,,,,,
Swift J2218.5+1925,--,22 18 32.76 +19 25 20.5,Peg,AM,0.08996,17.5 - ? R,334.6365,19.42236111,ZTF18abccodq,0.600718826,0,polar,,,,,,
Swift J2319.4+2619,000-BCY-519,23 19 30.43 +26 15 19.1,Peg,AM,--,15.6 - 20.6 CR,349.8767917,26.25530556,ZTF18abcqzxh,0.608926783,0,polar,,,,,,
PT Per,000-BBF-287,02 42 51.19 +56 41 31.3,Per,AM,--,15.5 - 19.1 V,40.71329167,56.69202778,ZTF18abotfmi,0.300363345,0,polar,,,,,,
BMAM-V793,000-BNS-526,01 55 20.28 +55 50 07.5,Per,AM,0.0609414,18.4 - 21.0 r,28.8345,55.83541667,ZTF17aaabbhn,0.187513884,0,polar,,,,,,
MASTER OT J025737.69+333750.7,--,02 57 37.75 +33 37 50.5,Per,AM,0.062508,18.3 - 21.3 CR,44.40729167,33.63069444,ZTF20acowhlb,0.157234233,0,polar,,,,,,
ZTF17aacpvmc,--,01 33 19.20 +08 37 25.3,Psc,AM,--,16.9 - 21.3 r,23.33,8.623694444,ZTF17aacpvmc,0.292281624,0,polar,,,,,,
ZTF19aayjhzx,--,19 43 45.92 -26 57 35.9,Sgr,AM,--,16.7 - 19.5 CV,295.9413333,-26.95997222,ZTF19aayjhzx,0.355647137,0,polar,,,,,,
MLS 110609:160907-104013,--,16 09 06.66 -10 40 13.0,Sco,AM,--,17.0 - 20.8 CV,242.27775,-10.67027778,ZTF18abcscfi,0.168291066,0,polar,,,,,,
V0519 Ser,000-BFT-349,16 10 07.51 +03 52 32.8,Ser,AM,0.13232,16.5 - 18.0 R,242.5312917,3.875777778,ZTF18aavooiu,0.256418801,0,polar,,,,,,
CSS 110920:153024+220646,000-BMK-775,15 30 23.65 +22 06 46.5,Ser,AM,--,17.4 - 19.6 CV,232.5985417,22.11291667,ZTF19abrdzkr,0.699198395,0,polar,,,,,,
MLS 101203:045625+182634,000-BNW-492,04 56 24.65 +18 26 34.4,Tau,AM,--,18.8 - 21.4 CV,74.10270833,18.44288889,ZTF17aacdkum,0.179271974,0,polar,,,,,,
RX J0502.8+1624,000-BFT-332,05 02 50.94 +16 24 22.0,Tau,AM,--,16.3 - 19 CV,75.71225,16.40611111,ZTF19abyqoqu,1.412013838,0,polar,,,,,,
SDSS J032855.00+052254.2,000-BJQ-812,03 28 55.11 +05 22 53.5,Tau,AM,0.084701,17.2 - 20.6 CV,52.229625,5.381527778,ZTF17aadihfl,1.657446276,0,polar,,,,,,
AI Tri,000-BCX-358,02 03 48.60 +29 59 26.0,Tri,AM,0.19174566,14.7 - 18.2 V,30.9525,29.99055556,ZTF17aaaslvp,0.570893099,0,polar,,,,,,
AR UMa,000-BBS-123,11 15 44.62 +42 58 22.3,UMa,AM,0.080500743,14.2 - 15.9 p,168.9359167,42.97286111,ZTF18acsujbc,1.518942012,0,polar,,,,,,
EK UMa,000-BCZ-907,10 51 35.16 +54 04 36.1,UMa,AM,0.079544023,18 - <19.5 V,162.8965,54.07669444,ZTF18aaadhno,0.665287423,0,polar,,,,,,
EU UMa,000-BBS-438,11 49 55.70 +28 45 07.3,UMa,AM,0.0626194,16.45 - 19.3 B,177.4820833,28.75202778,ZTF18aabktwo,0.289700684,0,polar,,,,,,
EV UMa,000-BFP-065,13 07 53.86 +53 51 30.4,UMa,AM,0.05533887,17 - 21 V,196.9744167,53.85844444,ZTF18aalrikz,0.275081576,0,polar,,,,,,
V0496 UMa,000-BLP-241,13 21 04.01 +56 09 58.0,UMa,AM,0.06323501,16.1 - 20.0 V,200.2667083,56.16611111,ZTF17aaajocf,0.265042144,0,polar,,,,,,
SDSS J093839.25+534403.8,000-BJQ-841,09 38 39.25 +53 44 03.8,UMa,AM,--,19.15 - ? g',144.6635417,53.73438889,ZTF18acvgoll,0.064764457,0,polar,,,,,,
ZTF19aarsrls,--,08 47 14.56 +61 00 33.6,UMa,AM,--,17.0 - 21.2 r,131.8106667,61.00933333,ZTF19aarsrls,0.655618114,0,polar,,,,,,
2QZ J142438.9-022739,000-BJQ-783,14 24 38.93 -02 27 39.3,Vir,AM,0.1555,17.0 - 19.8 CV,216.1622083,-2.460916667,ZTF18acuexzs,0.254012798,0,polar,,,,,,
SDSS J142256.31-022108.1,000-BDB-308,14 22 56.32 -02 21 08.0,Vir,AM,0.1404,18.2 - 21 CV,215.7346667,-2.352222222,ZTF19aacitsy,0.194196104,0,polar,,,,,,
QQ Vul,000-BCK-510,20 05 41.91 +22 39 58.8,Vul,AM,0.15452032,14.1 - 17.5 V,301.424625,22.66633333,ZTF18adjvzzl,0.142582551,0,polar,,,,,,
ASASSN-16me,000-BMC-408,21 12 02.63 -06 16 36.8,Aqr,AM+E,0.066458,16.0 - 20.9 CV,318.0109583,-6.276888889,ZTF18abmmszc,0.340835508,1,polar,,,,,,
V1432 Aql,000-BCT-743,19 40 11.42 -10 25 25.8,Aql,AM+E,0.140234773,14.2 - 18.0 V,295.0475833,-10.42383333,ZTF18abudxnu,0.240015316,1,polar,,,,,,
V1901 Aql,--,20 31 37.59 -00 05 11.2,Aql,AM+E,0.084,18.0 - 19.5 CR,307.906625,-0.086444444,ZTF18abmqugk,0.983206206,1,polar,,,,,,
MLS 110213:022733+130617,000-BJY-985,02 27 32.87 +13 06 17.1,Ari,AM+E,0.1577987,16.5 - 20.7: V,36.88695833,13.10475,ZTF18abvmlol,0.514483631,1,polar,,,,,,
V0808 Aur,000-BJJ-337,07 11 26.01 +44 04 05.1,Aur,AM+E,0.081376,14.8 - 21.4 V,107.858375,44.06808333,ZTF19adavmos,0.562508065,1,polar,,,,,,
MGAB-V330,--,05 48 30.66 +53 44 02.5,Aur,AM+E,--,16.1 - 20.8 r,87.12775,53.73402778,ZTF17aaaheoj,0.433778587,1,polar,,,,,,
HS Cam,000-BCT-974,07 19 14.49 +65 57 44.6,Cam,AM+E,0.068207,16.5 - <20 CV,109.810375,65.96238889,ZTF18abvgcbb,0.52414315,1,polar,,,,,,
ZTF18aaakvdk,000-BPC-629,04 49 25.66 +56 39 31.4,Cam,AM+E,0.060284,18.3 - 21.5 g,72.35691667,56.65872222,ZTF18aaakvdk,0.218980807,1,polar,,,,,,
2PBC J0658.0-1746,000-BNN-265,06 58 05.91 -17 44 25.0,CMa,AM+E,0.099137,14.3 - 18.9 G CV,104.524625,-17.74027778,ZTF17aaahsxa,1.561408471,1,polar,,,,,,
MASTER OT J061451.70-272535.5,000-BLP-084,06 14 51.72 -27 25 35.4,CMa,AM+E,0.0866,18.3 - <19.4 CR,93.7155,-27.4265,ZTF18acyutkw,0.283553845,1,polar,,,,,,
FL Cet,000-BFQ-111,01 55 43.40 +00 28 07.2,Cet,AM+E,0.06051621,14.9 - 20.9 CV,28.93083333,0.468666667,ZTF18abvkzmr,1.439813071,1,polar,,,,,,
2XMMp J131223.4+173659,--,13 12 23.48 +17 36 59.1,Com,AM+E,0.06378527,19.0 - <20.7 R,198.0978333,17.61641667,ZTF18aahvhsb,0.099974233,1,polar,,,,,,
EP Dra,000-BDQ-402,19 07 06.19 +69 08 43.9,Dra,AM+E,0.072656,17.6 - <21.0 V,286.7757917,69.14552778,ZTF18aaxcnxg,0.428497893,1,polar,,,,,,
V0574 Dra,000-BJZ-622,18 45 42.62 +48 31 30.8,Dra,AM+E,0.054908,16.6 - 21.3 B,281.4275833,48.52522222,ZTF20aaodweh,0.749400313,1,polar,,,,,,
HY Eri,000-BBH-780,05 01 46.41 -03 59 20.6,Eri,AM+E,0.11896906,16.0 - 22.7 V,75.443375,-3.989055556,ZTF19aalfvlz,0.110606368,1,polar,,,,,,
UZ For,000-BCV-924,03 35 28.64 -25 44 21.8,For,AM+E,0.087865433,17.0 - 20.9 V,53.86933333,-25.73938889,ZTF18acuajcr,0.294102108,1,polar,,,,,,
AM Her,000-BCB-802,18 16 13.25 +49 52 04.8,Her,AM+E,0.128927,12.3 - 15.7 V,274.0552083,49.868,ZTF19aanvjhb,1.271476451,1,polar,,,,,,
MN Hya,000-BCW-128,09 29 07.04 -24 05 05.5,Hya,AM+E,0.14124373,16.1 - 20 CV,142.2793333,-24.08486111,ZTF19aamucki,0.228832489,1,polar,,,,,,
DP Leo,000-BDS-869,11 17 15.92 +17 57 41.7,Leo,AM+E,0.062362857,17.4 - 20.2 CV,169.3163333,17.96158333,ZTF18aabpoqs,0.341583046,1,polar,,,,,,
EU Lyn,000-BFT-058,07 52 40.45 +36 28 23.3,Lyn,AM+E,0.1142,17.6 - 19.5 V,118.1685417,36.47313889,ZTF18abztpda,0.097776729,1,polar,,,,,,
V2301 Oph,000-BCW-555,18 00 35.53 +08 10 13.9,Oph,AM+E,0.07845,14.7 - 22.0 V,270.1480417,8.170527778,ZTF18abcpwci,1.089849253,1,polar,,,,,,
V1309 Ori,000-BCW-620,05 15 41.41 +01 04 40.5,Ori,AM+E,0.332612,15.2 - 18.2 V,78.92254167,1.077916667,ZTF17aaaryjg,0.19885882,1,polar,,,,,,
PTF1 J2152+19,--,21 52 56.10 +19 16 58.1,Peg,AM+E,0.16297506,16.3 - 19.7 CV,328.23375,19.28280556,ZTF18abadjvf,1.388158445,1,polar,,,,,,
BS Tri,000-BFT-506,02 09 29.82 +28 32 29.4,Tri,AM+E,0.06685,16.5 - 21.5 V,32.37425,28.5415,ZTF18aaaeozg,0.639187481,1,polar,,,,,,
AN UMa,000-BBR-959,11 04 25.65 +45 03 13.8,UMa,AM+E,0.07975274,14.5 - 19.3 V,166.106875,45.05383333,ZTF17aabxhpg,1.366712405,1,polar,,,,,,
VV Pup,000-BBP-388,08 15 06.79 -19 03 17.7,Pup,AM+ELL,0.069746826,13.9 - 19.6 V,123.7782917,-19.05491667,ZTF19aaerhgx,1.906252264,0,polar,,,,,,
2MASS J01203669+4923599,000-BPK-944,01 20 36.69 +49 24 00.2,And,CV,--,17.1 - 18.1 r,20.152875,49.40005556,ZTF18aabfarp,0.207779811,0,,,,,,,
BMAM-V704,000-BNP-234,02 15 34.86 +49 20 04.1,And,CV,--,17.2 - 21.4 g,33.89525,49.33447222,ZTF18abnzpcu,0.495104861,0,,,,,,,
BMAM-V799,000-BNS-623,00 13 01.60 +41 20 39.2,And,CV,--,17.7 - 21.2 g,3.256666667,41.34422222,ZTF18abtcgjs,0.539674637,0,,,,,,,
LAMOST J234332.25+453924.2,--,23 43 32.26 +45 39 24.3,And,CV,--,19.0 - 20.8 g,355.8844167,45.65675,ZTF20abmbzpi,0.536320789,0,,,,,,,
ZTF17aabumcd,--,00 34 17.70 +43 45 39.3,And,CV,--,17.4 - 21.0 g,8.57375,43.76091667,ZTF17aabumcd,0.111160148,0,,,,,,,
ZTF18abiuzar,--,00 07 39.31 +45 40 50.7,And,CV,--,18.8 - 21.8 r,1.913791667,45.68075,ZTF18abiuzar,0.142847328,0,,,,,,,
ZTF18abwxaix,--,01 10 28.36 +34 49 56.8,And,CV,--,18.6 - 21.7 g,17.61816667,34.83244444,ZTF18abwxaix,0.328859246,0,,,,,,,
ZTF18accbuhi,--,00 36 15.24 +38 51 31.8,And,CV,--,18.5 - 23.0 g,9.0635,38.85883333,ZTF18accbuhi,0.189866974,0,,,,,,,
ZTF19aczlxwf,--,00 05 44.28 +36 49 45.5,And,CV,--,17.9 - 18.5 g,1.4345,36.82930556,ZTF19aczlxwf,0.682612741,0,,,,,,,
MLS 100902:233939-053305,--,23 39 38.75 -05 33 05.3,Aqr,CV,0.193098,17.8 - 21.7: CV,354.9114583,-5.551472222,ZTF18accqcwt,0.089714996,0,,,,,,,
SDSS J204643.30-000630.2,000-BLR-797,20 46 43.28 -00 06 30.1,Aqr,CV,--,18.0 r (0.3)CV,311.6803333,-0.108361111,ZTF18abvvtdv,0.121552423,0,,,,,,,
Gaia19fdm,000-BNH-716,19 40 42.34 -01 57 40.2,Aql,CV,--,17.7 - 21.3 r,295.1764167,-1.961166667,ZTF18abtinpl,0.116553331,0,,,,,,,
Gaia21edr,000-BPC-657,19 29 13.95 +06 40 19.8,Aql,CV,--,17.5 - 20.0 g,292.308125,6.672166667,ZTF18abfxckk,0.067408984,0,,,,,,,
IPHAS J185647.14+070055.3,000-BFV-058,18 56 47.14 +07 00 55.4,Aql,CV,0.0823262,17.197 (0.153) r,284.1964167,7.015388889,ZTF19aaimpde,0.446464028,0,,,,,,,
MG1 1818424,000-BPL-612,20 11 35.95 +02 54 35.3,Aql,CV,--,16.3 - 18.5 r,302.8997917,2.909805556,ZTF18abudroz,0.208324689,0,,,,,,,
MGAB-V1125,000-BNS-701,19 54 54.30 +15 37 59.6,Aql,CV,0.0623157,18.9 - 21.9 g,298.72625,15.63322222,ZTF18abbnxlu,0.260385454,0,,,,,,,
MGAB-V801,--,19 29 53.93 +09 35 47.6,Aql,CV,--,16.8 - 20.6 r,292.4747083,9.596555556,ZTF18aazurmd,0.19038869,0,,,,,,,
