Name,AUID,Coords,Const,Type,Period,Mag,ra,dec
RX And,000-BBC-342,01 04 35.54 +41 17 57.8,And,UGZ,0.209893,10.3 - 14.8 V,16.148083333333332,41.299388888888885
AR And,000-BBD-275,01 45 03.27 +37 56 33.2,And,UGSS,0.163,11.0 - 17.6 V,26.263624999999998,37.94255555555555
BV And,000-BCT-512,23 27 02.09 +50 07 13.0,And,UG,(45),15.3 - 18.5 V,351.7587083333333,50.12027777777778
DX And,000-BCR-612,23 29 46.68 +43 45 04.0,And,UGSS,0.440502,11.0 - 15.5 V,352.4445,43.75111111111111
FN And,000-BBC-497,01 11 57.60 +35 17 24.3,And,UGSS,--,12.9 - 19.3 V,17.99,35.29008333333333
FO And,000-BBC-590,01 15 32.16 +37 37 35.6,And,UGSU,0.07161,13.1 - 18.6 V,18.883999999999997,37.626555555555555
FS And,000-BBD-866,02 25 55.03 +37 34 05.3,And,UG,--,14.9 - 19.0 V,36.47929166666666,37.56813888888889
HQ And,000-BCT-525,00 31 35.87 +43 49 05.8,And,NL,--,15.0 - 16.2 p,7.8994583333333335,43.81827777777778
HV And,000-BCT-527,00 40 55.38 +43 24 59.5,And,NL/VY,0.1403,15.2 - 20.6 G g,10.230749999999999,43.41652777777777
IW And,000-BBC-278,01 01 08.91 +43 23 25.8,And,UGZ/IW,0.155,13.6 - 18.6 V,15.287124999999998,43.3905
IZ And,000-BCT-528,01 07 03.88 +42 43 12.1,And,UG,--,15.6 - 20 CV,16.766166666666663,42.72002777777778
KV And,000-BBD-658,02 17 13.90 +40 41 29.6,And,UGSU,0.0733,14.0 - 20.4 V,34.307916666666664,40.69155555555555
KW And,000-BCT-529,02 35 17.98 +41 14 02.2,And,UGSS+E,0.27297,15.4 - 18.6 CV,38.82491666666666,41.23394444444445
LL And,000-BBB-961,00 41 51.47 +26 37 21.1,And,UGWZ,0.055055,12.6 - 20 V,10.464458333333331,26.62252777777778
LS And,000-BBB-781,00 32 10.27 +41 58 10.3,And,UGWZ,--,11.7 - 20.8 g B,8.042791666666666,41.96952777777778
LU And,000-BDC-910,00 40 15.03 +43 05 49.2,And,UG,--,16.7 - 21.5 r,10.062624999999999,43.097
LX And,000-BBD-718,02 19 44.09 +40 27 22.3,And,UG,0.1509743,12.6 - 17.0 V,34.93370833333333,40.45619444444445
OR And,000-BCT-533,23 04 37.42 +49 27 23.9,And,NL/VY,0.1359,14.5 - 19.0 V,346.1559166666666,49.45663888888889
OS And,000-BCR-309,23 12 05.96 +47 28 19.6,And,NA,--,6.3 - 18 V,348.0248333333333,47.47211111111111
PQ And,000-BBF-002,02 29 29.57 +40 02 39.8,And,UGWZ+ZZ/GWLIB,0.0560,10.0 - 19.2 V,37.37320833333333,40.04438888888889
PT And,000-BCT-535,00 40 24.38 +41 04 03.2,And,UGWZ,0.056,15.8 - 21.4 V,10.10158333333333,41.06755555555556
PX And,000-BBB-712,00 30 05.81 +26 17 26.4,And,NL/VY+E,0.146352746,14.4 - <18 V,7.524208333333333,26.290666666666667
QR And,000-BBB-466,00 19 49.93 +21 56 52.1,And,CBSS+E,0.660451,11.4 - 13.2 V,4.958041666666666,21.947805555555554
V0402 And,000-BBB-245,00 11 07.26 +30 32 36.0,And,UGSU,0.0621,15.0 - 20.4 g,2.7802499999999997,30.543333333333337
V0455 And,000-BDC-667,23 34 01.45 +39 21 40.9,And,UGWZ/DQ+E+ZZ/GWLIB,0.05630921,8.5 - 16.5 V,353.50604166666665,39.361361111111115
V0466 And,000-BFT-799,02 00 25.44 +44 10 19.1,And,UGWZ,0.05637,12.8 - 21.2: V,30.105999999999998,44.17197222222222
V0479 And,000-BFT-010,00 18 56.93 +34 54 44.2,And,AM:,0.594093,16.7 - 17.9 V,4.737208333333333,34.912277777777774
V0500 And,000-BJJ-308,00 42 26.50 +42 15 36.7,And,UGSU,0.05550,14.5 - 21.9 r CR,10.610416666666666,42.260194444444444
V0501 And,000-BKQ-509,00 43 06.40 +41 30 13.4,And,UG:,--,18.13 - <19.5 V,10.776666666666666,41.50372222222222
V0515 And,000-BJS-201,00 55 19.86 +46 12 57.0,And,DQ,0.10935:,14.7 - 16.0 V,13.832749999999997,46.215833333333336
V0572 And,000-BJR-021,02 22 16.49 +41 22 59.2,And,UGWZ,0.054868,16.1: - 22.1 g CV,35.56870833333333,41.38311111111111
V0677 And,000-BLS-233,23 34 23.09 +39 14 23.2,And,AM:,0.073,17.0 - <20.7 CV,353.5962083333333,39.23977777777778
V0704 And,000-BDC-688,23 44 57.51 +43 31 22.3,And,NL/VY,0.154124,12.6 - 19.5 CV,356.239625,43.52286111111111
V0730 And,000-BJY-044,00 46 25.65 +41 07 14.2,And,UG,--,15.4 clear - 20.45 CR,11.606875,41.12061111111111
V0744 And,000-BJQ-809,01 29 40.06 +38 42 10.5,And,UGSU/IBWD,0.026080,14.3 - 20.2 G,22.416916666666665,38.70291666666667
V0776 And,000-BJX-610,23 19 36.07 +36 47 00.0,And,UGSU,0.064,13.5 - 19.0 CV V,349.90029166666665,36.78333333333333
1RXS J003828.7+250920,000-BCY-487,00 38 27.03 +25 09 25.5,And,UGSU,--,14.6 - 18.6 CR,9.612624999999998,25.157083333333333
1RXS J012750.5+380830,000-BJQ-773,01 27 50.58 +38 08 11.9,And,UG,0.06071,13.4 - 17.7 V,21.960749999999994,38.13663888888889
1RXS J015017.0+375614,000-BLC-531,01 50 16.19 +37 56 19.0,And,UGZ,0.1481,13.2 - 19.8 V,27.56745833333333,37.93861111111111
1RXS J233801.0+430852,000-BJQ-777,23 37 59.21 +43 08 51.0,And,NL/VY,0.160400,16.05 - 20.6 V,354.4967083333333,43.1475
1RXS J234500.2+342913,000-BMY-365,23 45 02.48 +34 29 24.0,And,UG,--,17.0 - 20.0 CV,356.2603333333333,34.49
2MASS J01203669+4923599,000-BPK-944,01 20 36.69 +49 24 00.2,And,CV,--,17.1 - 18.1 r,20.152874999999995,49.400055555555554
2MASS J23212116+3807563,000-BMS-106,23 21 21.18 +38 07 56.1,And,UG,--,14.2 - 17.9 V,350.33824999999996,38.13225
ASASSN-13bz,000-BLD-703,00 44 27.85 +43 42 41.4,And,UGWZ:,--,15.1 - 22.6 g,11.116041666666666,43.7115
ASASSN-13cx,000-BLD-492,00 02 22.37 +42 42 13.5,And,UGSU+E,0.079650075,14.7 - 20.5 g,0.5932083333333332,42.70375
ASASSN-14cj,000-BLJ-422,23 52 01.18 +44 50 58.4,And,UG,--,15.2 V - 20.2 CV,358.00491666666665,44.84955555555556
ASASSN-14dr,000-BLJ-476,00 36 40.31 +23 08 31.9,And,UGSU:,0.06655,15.5 - 20.9 g,9.167958333333331,23.142194444444446
ASASSN-14fv,000-BLJ-936,23 29 55.26 +44 56 13.7,And,UG/IBWD,--,14.6 - 22.8 V,352.48025,44.93713888888889
ASASSN-14fx,000-BLJ-939,02 36 50.60 +40 14 00.1,And,UGSU,--,15.6 - 22.2 g,39.21083333333333,40.233361111111115
ASASSN-14gl,000-BLK-232,02 05 00.36 +46 05 38.0,And,UGZ,--,15.1 - 18.9 g,31.2515,46.09388888888889
ASASSN-14hg,000-BLK-308,00 41 46.31 +35 37 36.4,And,UG,--,16.2 - 21.8 V,10.442958333333332,35.626777777777775
ASASSN-14hk,000-BLK-310,01 39 35.62 +35 38 40.8,And,UGSU,--,14.7 V - 20.8: B,24.898416666666662,35.644666666666666
ASASSN-14lb,000-BLL-242,23 50 15.68 +33 21 03.5,And,UGSU,--,15.9 - 21.5 V,357.5653333333333,33.350972222222225
ASASSN-15bx,000-BLN-122,01 10 22.32 +47 19 53.7,And,UG,--,16.6 - 21.9 V,17.593,47.331583333333334
ASASSN-15nv,000-BLR-655,23 42 26.22 +32 48 19.9,And,UG+E,0.1348254,15.3 V - 19.6 CV,355.60925,32.805527777777776
ASASSN-15pc,000-BPB-986,01 51 37.63 +45 39 16.3,And,UG,--,16.1 - 19.5 V,27.906791666666667,45.65452777777778
ASASSN-15po,000-BLS-074,00 36 35.83 +21 51 25.8,And,UGWZ,0.050454,13.7 - 21.5 V,9.149291666666667,21.857166666666668
ASASSN-15ro,000-BLS-685,01 33 07.57 +41 07 18.7,And,UGSU,--,15.4 - 21.6 V,23.281541666666666,41.12186111111111
ASASSN-15sv,000-BLT-400,00 39 00.55 +27 13 45.7,And,UGSU,--,15.8 - 22.4 V,9.752291666666666,27.22936111111111
ASASSN-15to,000-BLT-838,01 47 52.49 +45 56 43.5,And,UG,--,15.5 - <22 V,26.96870833333333,45.94541666666667
ASASSN-15tx,000-BLT-943,02 30 24.44 +45 07 18.2,And,UG,--,16.3 - <22 V,37.60183333333333,45.121722222222225
ASASSN-16nq,000-BMD-032,23 22 09.27 +39 50 07.9,And,UGSU,--,15.0 - 18.9 V,350.53862499999997,39.83552777777778
ASASSN-17md,000-BMK-926,02 26 11.06 +38 41 34.5,And,UG,--,15.4 - 20.3 G V,36.546083333333335,38.69291666666666
ASASSN-18bh,000-BMN-837,01 09 52.84 +47 57 11.2,And,UGSU,--,13.7 - 20.4 g,17.470166666666664,47.95311111111111
ASASSN-18mp,000-BMR-631,23 17 29.92 +52 20 20.5,And,UGSU+E,0.06236,15.4 - 19.7 g,349.37466666666666,52.33902777777778
ASASSN-19ax,000-BMY-405,23 34 58.65 +40 16 09.1,And,UGSU,--,12.8 - 16.1 g,353.744375,40.269194444444445
ASASSN-19ca,000-BMZ-106,23 54 51.59 +43 57 58.3,And,UG,--,16.4 - 20.0 g,358.7149583333333,43.96619444444445
ASASSN-19dp,000-BMZ-678,02 22 59.02 +43 39 13.1,And,AM,--,16.5 - 20.9 g,35.74591666666666,43.653638888888885
ASASSN-19oj,000-BND-030,23 14 17.69 +52 55 56.2,And,UG,--,16.1 - 22.0: r g,348.57370833333334,52.93227777777778
ASASSN-19ss,000-BNF-552,01 34 16.89 +42 16 45.9,And,UG,--,16.3 - 22.0 g,23.570375,42.27941666666666
ASASSN-19sw,000-BNF-570,00 52 07.15 +43 52 18.6,And,UG,--,14.0 - 20.9 g,13.029791666666666,43.871833333333335
ASASSN-19vr,000-BNG-487,00 47 53.25 +39 00 57.4,And,UGSU,--,15.1 - 22.2 g,11.971874999999999,39.01594444444444
ASASSN-19yn,000-BNG-948,23 33 00.36 +43 23 26.7,And,UGWZ:,--,15.6 - 21.4 g,353.25149999999996,43.39075
ASASSN-19za,000-BNH-112,23 20 18.50 +49 19 46.1,And,UGSU,--,15.2 - 21.7 g,350.0770833333333,49.32947222222223
ASASSN-20iq,000-BNP-353,02 11 14.01 +42 56 08.1,And,UG,--,16.7 - 21.5 g,32.80837499999999,42.93558333333333
ASASSN-20la,000-BNP-945,01 38 51.95 +46 34 49.9,And,UGSU/IBWD,--,16.1 - 21.5 g,24.71645833333333,46.58052777777778
ASASSN-20nd,000-BNR-806,23 31 26.78 +47 36 52.5,And,UGSU,--,15.6 - 21.8 g,352.8615833333333,47.614583333333336
ASASSN-21aa,000-BNS-972,02 36 57.41 +41 26 37.1,And,UG,--,15.2 - 22.2: g,39.23920833333333,41.443638888888884
ASASSN-21lg,000-BNZ-831,00 50 55.88 +35 58 55.5,And,UGSU,--,12.6 - 20.3 g,12.732833333333332,35.982083333333335
ASASSN-21oo,000-BPC-056,23 02 42.00 +44 42 56.0,And,UG,--,14.3 - 21.5 g,345.675,44.71555555555556
ASASSN-22ao,000-BPG-344,23 16 36.29 +50 01 52.4,And,UG,--,15.8 - 20.0 g,349.1512083333333,50.03122222222222
ASASSN-22it,000-BPK-462,00 28 54.39 +43 11 44.1,And,UG,--,14.2 - 20.4 g,7.226624999999999,43.19558333333333
ASASSN-22mh,000-BPL-526,00 01 17.96 +39 28 25.7,And,UG,--,16.1 - <23 g,0.3248333333333333,39.47380555555556
ASASSN-23ex,000-BPQ-310,01 52 32.21 +39 30 16.4,And,UG:,--,15.9 - 23: g,28.13420833333333,39.504555555555555
ASASSN-V J000122.44+481658.1,--,00 01 22.44 +48 16 57.8,And,UG,--,14.7 - 21.1 g,0.34349999999999997,48.28272222222222
ASASSN-V J001354.09+445326.1,--,00 13 54.09 +44 53 26.0,And,NL,--,14.05 - 14.53 V,3.4753749999999997,44.89055555555556
ASASSN-V J002356.47+424707.8,--,00 23 56.47 +42 47 07.8,And,NL,--,12.16 - 12.77 V,5.985291666666667,42.7855
AT 2018eq,000-BMN-771,00 43 15.64 +41 18 39.9,And,UG:,--,17.8 - 21.7 V CR,10.815166666666666,41.31108333333333
AT 2023ax,000-BPN-161,00 43 09.22 +41 17 02.2,And,N,--,16.5 - <23 CV,10.788416666666667,41.283944444444444
AT 2023kdb,000-BPQ-261,00 43 09.70 +41 29 46.1,And,NA:,--,16.2 - <22 CV,10.790416666666665,41.49613888888889
ATLAS16cxl,000-BMB-003,01 56 29.58 +37 54 11.0,And,UG:,--,17.3 - <22 CR,29.12325,37.903055555555554
ATLAS16dtt,000-BPL-226,23 21 22.91 +44 23 50.6,And,UG,--,16.2 - 22.7 g,350.3454583333333,44.39738888888889
ATLAS17jdg,--,23 36 23.73 +44 38 35.1,And,UG,--,18.0 - <21.3 r,354.09887499999996,44.64308333333333
ATLAS17jgy,000-BMK-802,00 45 25.49 +39 50 52.5,And,N,--,16.8: - <24 r CR,11.356208333333331,39.84791666666667
ATLAS17juy,000-BMK-608,02 12 28.19 +46 53 33.2,And,UG,--,17.5 - <24 r CR,33.11745833333333,46.89255555555555
ATLAS17myk,000-BNV-915,02 15 26.27 +43 16 31.6,And,UG,--,18.1 - 21.4 r o,33.85945833333333,43.275444444444446
ATLAS18tpn,000-BNH-794,23 59 24.26 +45 54 06.9,And,UG,--,17.6 - <22 CR,359.85108333333335,45.901916666666665
ATLAS18zvk,000-BMX-218,23 38 59.19 +41 34 34.5,And,UG,--,15.3 - 22.5 r CR,354.74662499999994,41.57625
ATLAS19phq,000-BPF-525,01 32 40.98 +50 09 23.1,And,UG,--,17.9 - 22.3 g,23.170749999999995,50.156416666666665
ATLAS20bdbz,--,00 16 14.80 +46 30 12.2,And,UG,--,19.1 - <22.0 r,4.0616666666666665,46.50338888888889
ATLAS20behv,000-BNR-816,00 13 42.44 +28 55 09.2,And,UG,--,18.7 - <23 g c,3.4268333333333327,28.919222222222224
ATLAS22belw,000-BPL-283,00 14 30.44 +43 14 18.6,And,UG,--,14.7 - 22.3 g,3.626833333333333,43.2385
BMAM-V693,000-BNN-984,23 48 10.61 +41 47 31.3,And,UG,--,18.8 - 21.9 r,357.0442083333333,41.792027777777776
BMAM-V704,000-BNP-234,02 15 34.86 +49 20 04.1,And,CV,--,17.2 - 21.4 g,33.89525,49.334472222222225
BMAM-V774,000-BNR-915,23 06 54.87 +50 14 01.5,And,UG,--,18.0 - 22.1 g,346.728625,50.23375
BMAM-V789,000-BNS-414,02 33 58.15 +41 37 26.3,And,AM,0.0714789,18.5 - 21.7 r,38.49229166666666,41.62397222222222
BMAM-V799,000-BNS-623,00 13 01.60 +41 20 39.2,And,CV,--,17.7 - 21.2 g,3.2566666666666664,41.34422222222222
CRTS J004024.1+334131,--,00 40 24.15 +33 41 33.1,And,UG,--,16.8 - 18.6 CV,10.100624999999997,33.69252777777778
CRTS J004625.7+382024,000-BMD-239,00 46 25.87 +38 20 23.8,And,UG,--,17.9 - 22.2 r G,11.607791666666666,38.33994444444445
CSS 081031:003460+273620,--,00 34 59.96 +27 36 19.9,And,UG,--,17.9 - <21.2 CV,8.749833333333331,27.60552777777778
CSS 081102:004500+222708,000-BKQ-309,00 45 00.29 +22 27 07.3,And,UG,--,14.4 - 20.8 V,11.25120833333333,22.452027777777776
CSS 081206:233233+391315,--,23 32 32.54 +39 13 15.2,And,UG,--,18.4 - <21.9 CV,353.13558333333333,39.220888888888894
CSS 090819:230938+370715,--,23 09 38.04 +37 07 15.0,And,UG,--,17.1 - 22.2: CV,347.40849999999995,37.12083333333334
CSS 090915:233032+403606,--,23 30 31.86 +40 36 06.0,And,UG,--,16.5 - 20.7 CV,352.63274999999993,40.60166666666667
CSS 090918:001538+263657,000-BJS-202,00 15 38.24 +26 36 56.8,And,UGSU,0.1015,13.3 - 18.3 CV,3.9093333333333327,26.61577777777778
CSS 090925:004807+264621,--,00 48 07.21 +26 46 23.2,And,UG,--,18.6 - 21.0 CV,12.030041666666666,26.77311111111111
CSS 090929:232716+413149,000-BMY-624,23 27 16.27 +41 31 48.8,And,UGSU,--,15.6 - 20.7 G CV,351.8177916666666,41.53022222222222
CSS 091026:002637+242916,--,00 26 37.06 +24 29 15.7,And,AM,--,17.1 - 21 CV,6.654416666666666,24.487694444444447
CSS 091027:013309+383217,000-BMZ-483,01 33 08.74 +38 32 17.5,And,UGSU:,0.07497,15.9 - 18.4 CV,23.286416666666664,38.53819444444444
CSS 091120:000945+402928,--,00 09 45.47 +40 29 27.6,And,UG,--,17.9 - 21.0 CV,2.439458333333333,40.491
CSS 091120:001019+410455,--,00 10 19.32 +41 04 54.7,And,UG,--,15.6 - 20.6 g,2.5804999999999993,41.08186111111112
CSS 091220:003204+314510,000-BKQ-308,00 32 03.63 +31 45 10.5,And,UG,--,15.0 - 19.9 g,8.015125,31.752916666666668
CSS 100505:232822+363156,--,23 28 21.77 +36 31 55.6,And,UG,--,17.7 - 21.0 CV,352.0907083333333,36.532111111111114
CSS 100910:000025+332543,000-BKS-089,00 00 24.61 +33 25 43.1,And,UGSU+E:,--,15.9 - 20.5 CV,0.10254166666666666,33.428638888888884
CSS 101107:001828+215519,--,00 18 28.36 +21 55 19.4,And,UG,--,18.7 - <21.5 CV,4.618166666666665,21.922055555555556
CSS 101108:022436+372021,--,02 24 36.43 +37 20 21.4,And,UG,--,16.5 - 21.0 CV,36.15179166666666,37.33927777777778
CSS 101111:001158+315544,--,00 11 58.30 +31 55 44.0,And,UG,--,17.2 - <21 CV,2.9929166666666664,31.92888888888889
CSS 101111:001340+332124,--,00 13 39.59 +33 21 23.1,And,UG,--,17.9 - <19.9 CV,3.414958333333333,33.35641666666667
CSS 101207:020804+373217,000-BKQ-312,02 08 04.22 +37 32 16.6,And,UGSU:,0.05845,15.3 - 17.9 CV,32.017583333333334,37.53794444444444
CSS 101212:002657+284933,000-BLD-521,00 26 56.59 +28 49 33.0,And,UGSU,--,14.9 - 21.5 V CV,6.735791666666667,28.825833333333332
CSS 110115:003304+380106,000-BNP-843,00 33 03.94 +38 01 05.3,And,UGSU,--,15.5 - 20.7 V CV,8.266416666666666,38.018138888888885
CSS 111101:234242+341331,000-BKT-570,23 42 42.46 +34 13 30.0,And,UG,--,16.6 - 22.1 CV,355.6769166666666,34.225
CSS 120131:001952+433901,000-BKH-940,00 19 52.24 +43 39 01.4,And,UGWZ,0.055,15.6 CV - 22.2 B,4.967666666666665,43.65038888888889
CSS 121006:001234+375013,--,00 12 33.67 +37 50 13.6,And,UG,--,16.7 - 20.9 G CV,3.1402916666666663,37.83711111111111
CSS 130904:003056+231746,--,00 30 55.81 +23 17 46.0,And,UG,--,17.8 - 22.3 CV,7.732541666666665,23.296111111111113
CSS 130917:020255+403704,--,02 02 54.85 +40 37 04.0,And,UG,--,18.0 - 21.0 CV,30.72854166666666,40.617777777777775
CSS 131014:005347+405549,--,00 53 47.32 +40 55 48.6,And,UG,--,16.7 - 19.2 CV,13.447166666666664,40.930166666666665
CSS 131025:230025+413119,000-BMS-969,23 00 25.30 +41 31 20.0,And,UG,--,15.7 CV - 21.0 B,345.10541666666666,41.52222222222222
CSS 131028:004306+370332,000-BLF-157,00 43 05.63 +37 03 32.3,And,UG,--,15.2 - <20 CR,10.773458333333332,37.058972222222216
CSS 131112:232409+423935,--,23 24 08.89 +42 39 34.6,And,UG:,--,17.0 - <20 CV,351.0370416666666,42.65961111111111
CSS 131208:004610+351540,000-BLF-923,00 46 09.81 +35 15 39.6,And,UG,--,16.53 (5.87) CV,11.540875,35.261
CSS 141121:015656+412231,000-BLY-144,01 56 56.30 +41 22 31.5,And,UG:,--,18.3 - 21.5 B CV,29.234583333333333,41.375416666666666
CSS 151113:004457+325013,000-BLS-976,00 44 57.01 +32 50 13.1,And,UG:,--,19.6 - <23 CV,11.237541666666665,32.83697222222222
CSS 151130:000911+300308,000-BLT-772,00 09 10.93 +30 03 08.3,And,UG,--,16.8 - 20.2 g,2.2955416666666664,30.052305555555556
CSS 151208:020401+434133,000-BLT-882,02 04 01.10 +43 41 32.5,And,UG,--,14.4 - 19.1 G,31.00458333333333,43.692361111111104
CSS 160925:233331+402158,000-BMB-143,23 33 31.22 +40 21 57.8,And,UG,--,16.6 - 19.8 CV,353.38008333333335,40.366055555555555
DDE 169,000-BND-207,00 59 04.33 +46 14 48.0,And,UGSU,--,14.5 - 18.4 V,14.768041666666663,46.24666666666667
DDE 31,000-BKT-897,02 13 17.18 +46 06 43.5,And,UGSU,0.070,15.3 - 20.7 g,33.321583333333336,46.11208333333334
DDE 72,000-BMF-926,00 21 46.00 +40 04 11.9,And,UGZ/IW,--,14.7 - 18.4 g,5.4416666666666655,40.069972222222226
FBS 0019+348,000-BFT-346,00 21 48.44 +35 04 51.2,And,NL,--,14.0 - 14.8 V,5.451833333333332,35.08088888888889
FBS 0125+386,000-BFT-333,01 28 28.98 +38 54 36.9,And,CV:,--,15 - ? V,22.120749999999997,38.91025
Gaia DR3 368178757120754176,000-BPQ-459,00 40 20.23 +37 26 03.7,And,CV,--,18.6 - 22.6 g,10.084291666666664,37.43436111111111
Gaia15ack,000-BLQ-144,02 02 32.81 +38 48 13.6,And,UG,--,18.9 G - 21.0 B,30.636708333333328,38.803777777777775
Gaia16adt,000-BLW-180,00 02 09.33 +43 23 21.3,And,UG:,--,16.5 - 19.8 g,0.5388749999999999,43.38925
Gaia16agc,000-BLW-725,00 45 58.08 +26 01 47.0,And,UG,--,17.8 G - 22.2 V,11.491999999999999,26.029722222222222
Gaia16ahn,000-BLW-827,02 11 29.29 +43 12 11.7,And,UGSU:,--,16.0 - 21.9 g,32.872041666666654,43.203250000000004
Gaia16aqx,000-BLY-359,23 48 13.55 +35 49 50.0,And,UG,--,17.9 - 22.3 B,357.0564583333333,35.830555555555556
Gaia16azj,000-BLY-951,23 30 42.95 +41 32 34.4,And,UG:,--,18.6 - <22 G,352.6789583333333,41.54288888888889
Gaia16beg,000-BLZ-376,01 52 34.55 +47 04 51.7,And,UG:,--,18.5 - <22 G,28.14395833333333,47.081027777777784
Gaia16cba,000-BMD-356,01 39 26.73 +49 40 53.6,And,UG:,--,17.7 - <22 G,24.861374999999995,49.681555555555555
Gaia16cbg,000-BMD-359,01 50 13.19 +43 38 29.6,And,UG:,--,19.0 - <22 G,27.55495833333333,43.641555555555556
Gaia17afq,000-BMD-976,22 57 39.68 +50 43 04.1,And,UG:,--,17.9 - <22 G,344.4153333333333,50.71780555555556
Gaia17amx,000-BMF-782,01 40 09.97 +43 53 10.9,And,UG:,--,18.0 - 21.5 B G,25.04154166666666,43.886361111111114
Gaia17anz,000-BMF-725,00 12 07.72 +42 28 26.4,And,UG|SN,--,18.2 - 21.5 B G,3.0321666666666665,42.474000000000004
Gaia17asw,--,02 36 27.61 +50 44 34.2,And,UG:,--,17.6 - <22 G,39.11504166666666,50.74283333333334
Gaia17bgw,000-BMH-520,23 09 29.95 +43 55 21.3,And,UG:,--,18.7 - <22 G,347.3747916666666,43.92258333333333
Gaia17bkl,000-BMH-710,01 11 25.99 +34 51 04.6,And,UG:,--,18.1 - 24: r G,17.858291666666666,34.85127777777778
Gaia17ccg,000-BMK-641,00 00 42.30 +46 42 14.7,And,UG:,--,17.9 - <22 G,0.17625,46.70408333333334
Gaia17cgi,000-BMK-783,23 18 43.67 +49 37 48.9,And,UG:,--,18.6 - <22 G,349.6819583333333,49.630250000000004
Gaia17cri,--,23 08 30.34 +43 42 49.0,And,UG,--,17.9 - 21.7 r G,347.1264166666666,43.71361111111111
Gaia17dfr,--,23 29 19.38 +41 30 59.5,And,UG:,--,18.5 - <21 G,352.33074999999997,41.516527777777775
Gaia17dgd,--,00 44 46.04 +37 35 25.6,And,SN|UG,--,18.5 - <23 G,11.191833333333332,37.590444444444444
Gaia18ahw,--,00 07 50.97 +44 27 37.8,And,UG:,--,17.0 - <21 G,1.9623749999999998,44.4605
Gaia18con,--,00 36 28.95 +39 10 13.3,And,UG,--,18.3 - 24: r G,9.120624999999999,39.170361111111106
Gaia18dxz,000-BMX-702,23 43 31.34 +47 43 16.2,And,UG,--,17.6 - 21.4 g,355.8805833333333,47.72116666666667
Gaia18dzb,000-BMX-788,01 44 30.43 +46 33 10.4,And,UG,--,17.0 - 22.0 g G,26.126791666666666,46.55288888888889
Gaia19bhc,000-BNB-991,23 10 43.35 +47 09 54.8,And,UG:,--,15.2 - <22 G,347.68062499999996,47.16522222222222
Gaia19cmv,000-BND-307,02 20 25.23 +45 47 57.8,And,UG,--,18.9 - 23.2 r G,35.105124999999994,45.799388888888885
Gaia19cnk,000-BND-328,02 33 19.40 +45 12 26.7,And,UG,--,17.2 - 20.0 G,38.33083333333333,45.20741666666667
Gaia19cze,000-BNF-015,00 14 05.95 +39 08 13.1,And,NL/VY:,--,17.3 - 18.3 CV,3.5247916666666663,39.13697222222222
Gaia19ety,000-BNH-459,23 15 37.08 +50 06 16.7,And,UG,--,17.7 - 20.9 g,348.9045,50.10463888888889
Gaia20dlt,000-BNP-432,02 17 38.75 +45 50 27.4,And,UG,--,18.3 - 22.1 r G,34.41145833333333,45.840944444444446
Gaia20dlu,000-BNP-433,02 23 55.02 +41 46 29.9,And,AM:,--,18.6 - 20.9 G,35.97925,41.774972222222225
Gaia20doe,000-BNP-591,02 13 48.48 +46 29 56.9,And,UG,--,16.0 - 23.0: g,33.452,46.499138888888886
Gaia21brd,000-BNY-215,23 02 53.39 +52 28 50.6,And,UG,--,16.9 - 23: g G,345.7224583333333,52.48072222222223
Gaia21fdx,000-BPF-387,00 09 00.26 +48 13 54.7,And,UG:,--,16.6 - <23 r G,2.251083333333333,48.231861111111115
Gaia23asy,000-BPP-201,23 17 34.53 +50 05 30.1,And,UG:,--,17.7 - <22.5 r G,349.393875,50.09169444444445
GALEX J003535.7+462353,000-BJY-567,00 35 35.71 +46 23 52.4,And,UG+E,0.17227503,14.4 - 19.4 g,8.898791666666666,46.397888888888886
HS 0019+3947,000-BMF-075,00 22 08.66 +40 06 18.6,And,CV:,--,17.0 - ? r',5.536083333333332,40.10516666666667
LAMOST J002842.53+311819.4,000-BPM-995,00 28 42.53 +31 18 19.5,And,UG,--,13.8 - 19.9 r,7.177208333333333,31.305416666666666
LAMOST J005651.51+375620.4,--,00 56 51.54 +37 56 20.5,And,CV:,--,19.05 - 19.25 r,14.214749999999999,37.939027777777774
LAMOST J234332.25+453924.2,--,23 43 32.26 +45 39 24.3,And,CV,--,19.0 - 20.8 g,355.8844166666666,45.656749999999995
M31 V0865,000-BPB-092,00 42 38.03 +41 08 41.3,And,NR,--,17.1 - <22 r CR,10.658458333333332,41.14480555555556
M31 V0958,000-BPL-723,00 42 52.37 +41 16 12.8,And,NR,--,16.9 - <22.2 R CR,10.718208333333331,41.27022222222222
M31 V0964,000-BNN-662,00 42 55.66 +41 14 11.7,And,NR,--,15.2 - 22.1 V UV,10.731916666666665,41.236583333333336
M31 V0979,--,00 42 57.73 +41 08 12.0,And,NR,--,17.3 - <22 V,10.740541666666665,41.13666666666666
M31N 2005-10a,000-BPK-845,00 44 20.79 +41 23 10.9,And,NR,--,16.2 - 23.6 g,11.086624999999998,41.386361111111114
M31N 2006-11c,000-BLP-051,00 41 33.17 +41 10 12.4,And,NR,--,16.8 - <20.0 R,10.388208333333331,41.17011111111111
M31N 2007-10b,000-BMR-213,00 43 29.48 +41 17 13.5,And,NR,--,16.8 - <23.0 V CR,10.872833333333332,41.28708333333333
