Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
Gaia22dcy,000-BPK-831,07 09 11.73 -23 05 25.7,CMa,AM,--,18.5 - 20.9 G,107.298875,-23.09047222222222,ZTF18aculrrh,0.031193482164987
CSS 100108:081031+002429,--,08 10 30.61 +00 24 28.5,CMi,AM,0.080660,17.2 - 21.3 r CV,122.62754166666664,0.4079166666666667,ZTF18acnnsmq,0.2309896867670774
Gaia19cvs,000-BND-870,00 53 57.82 +65 45 22.7,Cas,AM,0.0553590,17.8 - 20.9 G,13.490916666666664,65.75630555555556,ZTF18abcrbmk,0.2947117800864204
ZTF18abotrwy,--,02 00 38.47 +61 31 17.6,Cas,AM,--,18.8 - 21.2 r,30.160291666666662,61.52155555555555,ZTF18admxenl,0.2424043662887357
Swift J2341.0+7645,000-BPG-152,23 40 20.57 +76 42 10.4,Cep,AM,0.1008034,16.3 - 19.6 r,355.0857083333333,76.70288888888889,ZTF18abwiccd,0.3241138872252423
EQ Cet,000-BCY-729,01 28 52.54 -23 39 44.0,Cet,AM,0.064455,16.6 - 18.9 CV,22.218916666666665,-23.66222222222222,ZTF18abwpsyj,0.537631454100129
CSS 120104:010558-085437,--,01 05 58.34 -08 54 37.4,Cet,AM,--,16.7 - 20.5 CV,16.49308333333333,-8.910388888888889,ZTF18abtmpnp,0.2412323802147024
SDSS J133309.19+143706.9,000-BJQ-851,13 33 09.19 +14 37 06.9,Com,AM,0.092,18.5 - 19.8 g,203.28829166666665,14.618583333333332,ZTF18aaznyge,0.1953117643401117
AP CrB,000-BDB-457,15 54 12.40 +27 21 51.2,CrB,AM,0.105462,16.5 (0.65) R,238.55166666666665,27.364222222222224,ZTF18aaylcic,1.6960119595410947
BM CrB,000-BDB-435,15 41 04.69 +36 02 52.9,CrB,AM,0.0585,16.5 - 20.5 CV,235.26954166666664,36.048027777777776,ZTF18aagrcve,0.3573563198166687
1RXS J210201.7+335932,000-BKR-571,21 02 01.45 +33 59 29.9,Cyg,AM,0.1178,16.6 - <19.5 CR,315.5060416666667,33.99163888888889,ZTF20abragvw,0.1691309862339543
Gaia19eyo,000-BNH-549,21 19 19.39 +41 12 35.2,Cyg,AM,0.0680613,16.9 - 20.7 G,319.83079166666664,41.20977777777778,ZTF19abhpnxh,0.684437099502931
MGAB-V3397,--,21 12 51.45 +32 37 57.6,Cyg,AM,--,18.1 - 20.3 g,318.2143749999999,32.632666666666665,ZTF18adlhiaq,0.3218617488311642
ZTF18aazucqe,--,19 31 32.58 +52 09 22.7,Cyg,AM,0.0612348,18.1 - 21.8 g,292.8857499999999,52.15630555555556,ZTF18aazucqe,0.2425991468475153
MGAB-V539,--,20 48 44.71 +19 30 19.5,Del,AM,0.06486074,18.3 - 21.9 g,312.18629166666665,19.505416666666665,ZTF18abnbluc,0.2575950405614726
MQ Dra,000-BDB-461,15 53 31.12 +55 16 14.5,Dra,AM,0.1829804,17.7 - 18.8 V,238.37966666666665,55.270694444444445,ZTF18aajqtnw,1.0622961179673285
MT Dra,000-BFR-392,18 46 58.80 +55 38 28.8,Dra,AM,0.0893869,16 - 20 R,281.74499999999995,55.641333333333336,ZTF18aapovzp,0.0548098742791934
DDE 23,000-BKD-607,18 19 33.13 +58 06 26.1,Dra,AM,0.0920127,16.4 - 20 R,274.8880416666666,58.10725,ZTF18aainbrb,0.4621327141136248
DDE 32,000-BMB-184,16 19 35.76 +52 46 31.9,Dra,AM,0.0697944,16.8 - 20.4: CV,244.899,52.775527777777775,ZTF18aauxwft,0.462061161509292
ZTF18aaxcqso,--,19 38 32.47 +62 23 30.1,Dra,AM,0.077386,17.0 - 21.0 r,294.6352916666666,62.39169444444445,ZTF18aaxcqso,0.4506970076930868
IW Eri,000-BFQ-214,04 25 55.19 -19 45 30.5,Eri,AM,0.06050,16.1 - 20.2 V,66.47995833333333,-19.758472222222224,ZTF19abtsrif,1.0011068287356346
6dFGS g0325394-081442,--,03 25 39.43 -08 14 42.8,Eri,AM,0.087193,14.5 - 18.3 V,51.41429166666666,-8.245222222222221,ZTF18abuhqfi,0.3924451896935876
VY For,000-BCY-959,03 32 04.60 -25 56 55.1,For,AM,0.1586,16.3 - 19.2 V G,53.019166666666656,-25.94863888888889,ZTF19aakuyyr,0.2884424953810428
1RXS J073346.0+261933,000-BKV-604,07 33 46.26 +26 19 26.1,Gem,AM,0.1334,16.9 - <20.1 CV,113.44275,26.323916666666666,ZTF17aacbuuj,0.2051718795574498
SDSS J074500.58+332859.6,--,07 45 00.58 +33 28 59.5,Gem,AM,--,18.0 - 22.3 r,116.25241666666663,33.48319444444444,ZTF17aadnfyi,0.2978365839274336
V0884 Her,000-BDB-750,18 02 06.48 +18 04 43.8,Her,AM,0.078480,12.87 - 17.7 V,270.527,18.07883333333333,ZTF20abbndvn,0.3683175947590258
V1007 Her,000-BDR-827,17 24 06.29 +41 14 07.7,Her,AM,0.0832840,16.3 - 19.7 CV,261.0262083333333,41.23547222222222,ZTF18aaldiqd,0.8434401461294517
V1189 Her,000-BFT-553,16 29 36.55 +26 35 19.7,Her,AM,0.0931,18.95 - 19.58 V,247.40229166666663,26.58880555555556,ZTF18aaojabr,0.6584219107581681
V1237 Her,000-BFT-066,17 00 53.30 +40 03 57.8,Her,AM,0.0808688,17.9 - 19.5 V,255.22208333333327,40.06605555555555,ZTF18aabpzjg,0.4017941144169786
CSS 160906:160346+193540,000-BLZ-422,16 03 46.08 +19 35 40.0,Her,AM,0.05693,16.7 - 19.1 CV,240.94199999999995,19.594444444444445,ZTF18acviwua,0.452099193501279
SDSS J162608.16+332827.8,000-BDB-536,16 26 08.16 +33 28 27.8,Her,AM,--,18.4 - ? s,246.534,33.47438888888889,ZTF22aajarut,0.0189468511931491
1RXS J100211.4-192534,000-BFT-923,10 02 11.71 -19 25 37.4,Hya,AM,0.0743,17 - ? B,150.54879166666666,-19.42705555555556,ZTF18aalurkz,0.3887690336852352
CSS 091017:081210+040352,--,08 12 10.24 +04 03 51.4,Hya,AM,--,18.7 - 22.4 CV,123.04266666666663,4.064277777777778,ZTF18acurptp,0.1356562233449008
CSS 110114:091937-055519,000-BKB-233,09 19 36.62 -05 55 19.6,Hya,AM,--,16.3 - 21.3 CV,139.9025833333333,-5.922111111111112,ZTF18acrxpcz,0.2611824060905578
RX J1007.5-2017,000-BFT-963,10 07 34.65 -20 17 32.5,Hya,AM,0.144863923,16.0 - 20.0 V,151.894375,-20.29236111111112,ZTF18aaqphee,0.1389586837267463
SDSS J085909.18+053654.5,000-BJQ-833,08 59 09.18 +05 36 54.5,Hya,AM,0.09986,17 - ? V,134.78824999999998,5.615138888888889,ZTF17aaaizfe,0.2764347673705116
GG Leo,000-BCZ-853,10 15 34.68 +09 04 42.0,Leo,AM,0.055471850,15.26 V - 19.2 CV,153.8945,9.078333333333331,ZTF18aaarims,0.6150627064326177
ST LMi,000-BBR-984,11 05 39.77 +25 06 28.6,LMi,AM,0.07908903,14.4 - 18.5 V,166.41570833333333,25.10794444444445,ZTF17aaajlfw,0.6340307737588018
WX LMi,000-BCW-229,10 26 27.49 +38 45 02.7,LMi,AM,0.115923,16.4 (1.27) R,156.61454166666664,38.75075,ZTF17aabtvrf,0.8856299673366957
CSS 101108:054711-192525,000-BNF-012,05 47 11.13 -19 25 25.2,Lep,AM,--,17.8 - 20.5 G,86.79637499999998,-19.42366666666667,ZTF19aakvlvn,0.3166986080656606
CSS 100216:150354-220711,--,15 03 53.94 -22 07 11.1,Lib,AM,0.092622,16.4 - 20 CV,225.97475,-22.11975,ZTF19aapzvoj,0.8965179440943865
FR Lyn,000-BJQ-831,08 54 14.02 +39 05 37.4,Lyn,AM,0.078653,15.5 - 20 CV,133.55841666666666,39.09372222222223,ZTF18aaadlpa,0.9331558324542876
MGAB-V410,--,07 00 55.18 +53 25 27.1,Lyn,AM,--,17.5 - 21.6 g,105.22991666666664,53.42419444444444,ZTF17aaairls,0.5452993929747134
BMAM-V796,000-BNS-580,18 45 53.30 +36 01 38.8,Lyr,AM,0.05665282,18.0 - 21.9 r,281.4720833333333,36.02744444444444,ZTF18aaowqsq,0.0622353554440698
BMAM-V800,000-BNS-649,18 37 35.04 +37 32 04.3,Lyr,AM,0.1300161,17.2 - 20.6 r,279.396,37.534527777777775,ZTF18aalgarl,0.0778169600064884
ZTF18aapobha,--,18 44 14.98 +44 54 08.7,Lyr,AM,0.0752759,17.2 - 20.1 g,281.06241666666665,44.90241666666667,ZTF18aapobha,0.3776134186545913
ATO J108.2755-08.7561,000-BNZ-306,07 13 06.13 -08 45 22.0,Mon,AM,0.0829019,15.8 - 19.2 r,108.27554166666664,-8.75611111111111,ZTF17aaagrxo,0.3661567521158851
MG1 400618,000-BMP-550,07 06 48.94 +03 24 47.5,Mon,AM,--,18.1 (0.737)R V,106.70391666666664,3.413194444444444,ZTF17aaaufmh,1.913577666627404
RX J0649.8-0737,000-BFT-919,06 49 50.84 -07 37 41.1,Mon,AM,0.183,18 - ? B,102.46183333333332,-7.628083333333333,ZTF17aabskxk,1.1382934441103791
RX J0749.1-0549,000-BFT-922,07 49 10.39 -05 49 25.7,Mon,AM,0.15,19 - ? B,117.29329166666663,-5.823805555555556,ZTF18actbrbg,0.1425825506164648
ZTF18acqxpha,--,08 03 52.37 -03 59 25.2,Mon,AM,--,17.4 - 20.8 r,120.96820833333332,-3.9903333333333335,ZTF18acqxpha,0.2323963710007413
CSS 160528:162350-121731,000-BLY-008,16 23 50.47 -12 17 31.1,Oph,AM,--,16.8 - 20.1 CV,245.96029166666665,-12.291972222222222,ZTF19aaclwhr,0.3525658039602759
ZTF18abttrrr,--,17 27 29.07 +13 26 02.2,Oph,AM,--,16.2 - 19.3 r,261.871125,13.433944444444444,ZTF18abttrrr,0.2859425474830583
V0388 Peg,000-BFB-996,21 57 32.33 +08 55 15.1,Peg,AM,0.14063,16.7 - 20.1 CV,329.3847083333333,8.92086111111111,ZTF18abcoxgp,0.3048122579332401
CSS 130604:215427+155714,000-BLD-643,21 54 27.19 +15 57 13.1,Peg,AM,0.067293,17.0 - 21.4 CV,328.6132916666666,15.953638888888888,ZTF18abadsmu,0.0447520749500399
CSS 131214:233546+123448,--,23 35 45.98 +12 34 47.9,Peg,AM,0.1618,17.62 (1.68) CV,353.94158333333326,12.579972222222224,ZTF18abuescl,0.3818921789331215
PTF1 J2313+16,--,23 13 30.83 +16 54 16.8,Peg,AM,0.0567,16.8 - 18.4 r,348.3784583333333,16.904666666666664,ZTF18admesgz,0.1761890952674956
Swift J2218.5+1925,--,22 18 32.76 +19 25 20.5,Peg,AM,0.08996,17.5 - ? R,334.6365,19.422361111111112,ZTF18abccodq,0.6007188263372788
Swift J2319.4+2619,000-BCY-519,23 19 30.43 +26 15 19.1,Peg,AM,--,15.6 - 20.6 CR,349.8767916666666,26.255305555555555,ZTF18abcqzxh,0.6089267829944361
PT Per,000-BBF-287,02 42 51.19 +56 41 31.3,Per,AM,--,15.5 - 19.1 V,40.71329166666666,56.692027777777774,ZTF18abotfmi,0.3003633446516803
BMAM-V793,000-BNS-526,01 55 20.28 +55 50 07.5,Per,AM,0.0609414,18.4 - 21.0 r,28.834499999999995,55.83541666666667,ZTF17aaabbhn,0.1875138843451484
MASTER OT J025737.69+333750.7,--,02 57 37.75 +33 37 50.5,Per,AM,0.062508,18.3 - 21.3 CR,44.407291666666666,33.630694444444444,ZTF20acowhlb,0.1572342332689992
ZTF17aacpvmc,--,01 33 19.20 +08 37 25.3,Psc,AM,--,16.9 - 21.3 r,23.33,8.623694444444444,ZTF17aacpvmc,0.2922816237239259
ZTF19aayjhzx,--,19 43 45.92 -26 57 35.9,Sgr,AM,--,16.7 - 19.5 CV,295.94133333333326,-26.95997222222222,ZTF19aayjhzx,0.3556471368077612
MLS 110609:160907-104013,--,16 09 06.66 -10 40 13.0,Sco,AM,--,17.0 - 20.8 CV,242.27775,-10.670277777777777,ZTF18abcscfi,0.1682910655340137
V0519 Ser,000-BFT-349,16 10 07.51 +03 52 32.8,Ser,AM,0.13232,16.5 - 18.0 R,242.53129166666668,3.875777777777778,ZTF18aavooiu,0.256418801354258
CSS 110920:153024+220646,000-BMK-775,15 30 23.65 +22 06 46.5,Ser,AM,--,17.4 - 19.6 CV,232.59854166666665,22.112916666666667,ZTF19abrdzkr,0.6991983954298079
MLS 101203:045625+182634,000-BNW-492,04 56 24.65 +18 26 34.4,Tau,AM,--,18.8 - 21.4 CV,74.10270833333333,18.442888888888888,ZTF17aacdkum,0.1792719739743069
RX J0502.8+1624,000-BFT-332,05 02 50.94 +16 24 22.0,Tau,AM,--,16.3 - 19 CV,75.71224999999998,16.40611111111111,ZTF19abyqoqu,1.4120138384640282
SDSS J032855.00+052254.2,000-BJQ-812,03 28 55.11 +05 22 53.5,Tau,AM,0.084701,17.2 - 20.6 CV,52.229625,5.3815277777777775,ZTF17aadihfl,1.6574462755700343
AI Tri,000-BCX-358,02 03 48.60 +29 59 26.0,Tri,AM,0.19174566,14.7 - 18.2 V,30.9525,29.99055555555556,ZTF17aaaslvp,0.5708930992584993
AR UMa,000-BBS-123,11 15 44.62 +42 58 22.3,UMa,AM,0.080500743,14.2 - 15.9 p,168.93591666666666,42.97286111111112,ZTF18acsujbc,1.5189420115561485
EK UMa,000-BCZ-907,10 51 35.16 +54 04 36.1,UMa,AM,0.0795440225,18 - <19.5 V,162.89649999999995,54.07669444444445,ZTF18aaadhno,0.6652874227927316
EU UMa,000-BBS-438,11 49 55.70 +28 45 07.3,UMa,AM,0.0626194,16.45 - 19.3 B,177.4820833333333,28.752027777777776,ZTF18aabktwo,0.2897006841680628
EV UMa,000-BFP-065,13 07 53.86 +53 51 30.4,UMa,AM,0.055338870,17 - 21 V,196.97441666666663,53.85844444444445,ZTF18aalrikz,0.2750815760721324
V0496 UMa,000-BLP-241,13 21 04.01 +56 09 58.0,UMa,AM,0.06323501,16.1 - 20.0 V,200.26670833333333,56.16611111111111,ZTF17aaajocf,0.265042144271769
SDSS J093839.25+534403.8,000-BJQ-841,09 38 39.25 +53 44 03.8,UMa,AM,--,19.15 - ? g',144.66354166666665,53.73438888888889,ZTF18acvgoll,0.0647644573455653
ZTF19aarsrls,--,08 47 14.56 +61 00 33.6,UMa,AM,--,17.0 - 21.2 r,131.81066666666663,61.00933333333333,ZTF19aarsrls,0.6556181141562356
2QZ J142438.9-022739,000-BJQ-783,14 24 38.93 -02 27 39.3,Vir,AM,0.1555,17.0 - 19.8 CV,216.1622083333333,-2.460916666666667,ZTF18acuexzs,0.2540127976482091
SDSS J142256.31-022108.1,000-BDB-308,14 22 56.32 -02 21 08.0,Vir,AM,0.1404,18.2 - 21 CV,215.73466666666664,-2.352222222222222,ZTF19aacitsy,0.1941961037592488
QQ Vul,000-BCK-510,20 05 41.91 +22 39 58.8,Vul,AM,0.15452032,14.1 - 17.5 V,301.42462499999993,22.66633333333333,ZTF18adjvzzl,0.1425825506164648
ASASSN-16me,000-BMC-408,21 12 02.63 -06 16 36.8,Aqr,AM+E,0.066458,16.0 - 20.9 CV,318.0109583333333,-6.276888888888889,ZTF18abmmszc,0.3408355075999675
V1432 Aql,000-BCT-743,19 40 11.42 -10 25 25.8,Aql,AM+E,0.1402347733,14.2 - 18.0 V,295.0475833333333,-10.423833333333333,ZTF18abudxnu,0.2400153159304594
V1901 Aql,--,20 31 37.59 -00 05 11.2,Aql,AM+E,0.0840,18.0 - 19.5 CR,307.9066249999999,-0.0864444444444444,ZTF18abmqugk,0.9832062055075956
MLS 110213:022733+130617,000-BJY-985,02 27 32.87 +13 06 17.1,Ari,AM+E,0.1577987,16.5 - 20.7: V,36.88695833333333,13.10475,ZTF18abvmlol,0.5144836308589118
V0808 Aur,000-BJJ-337,07 11 26.01 +44 04 05.1,Aur,AM+E,0.081376,14.8 - 21.4 V,107.858375,44.06808333333333,ZTF19adavmos,0.5625080654514264
MGAB-V330,--,05 48 30.66 +53 44 02.5,Aur,AM+E,--,16.1 - 20.8 r,87.12774999999999,53.734027777777776,ZTF17aaaheoj,0.4337785871895537
HS Cam,000-BCT-974,07 19 14.49 +65 57 44.6,Cam,AM+E,0.068207,16.5 - <20 CV,109.810375,65.9623888888889,ZTF18abvgcbb,0.5241431496590502
ZTF18aaakvdk,000-BPC-629,04 49 25.66 +56 39 31.4,Cam,AM+E,0.0602840,18.3 - 21.5 g,72.35691666666665,56.658722222222224,ZTF18aaakvdk,0.2189808073545753
2PBC J0658.0-1746,000-BNN-265,06 58 05.91 -17 44 25.0,CMa,AM+E,0.099137,14.3 - 18.9 G CV,104.524625,-17.740277777777777,ZTF17aaahsxa,1.5614084706711644
MASTER OT J061451.70-272535.5,000-BLP-084,06 14 51.72 -27 25 35.4,CMa,AM+E,0.08660,18.3 - <19.4 CR,93.7155,-27.4265,ZTF18acyutkw,0.2835538453006735
FL Cet,000-BFQ-111,01 55 43.40 +00 28 07.2,Cet,AM+E,0.06051621,14.9 - 20.9 CV,28.930833333333325,0.4686666666666667,ZTF18abvkzmr,1.439813070874577
2XMMp J131223.4+173659,--,13 12 23.48 +17 36 59.1,Com,AM+E,0.06378527,19.0 - <20.7 R,198.09783333333328,17.61641666666667,ZTF18aahvhsb,0.0999742327332917
EP Dra,000-BDQ-402,19 07 06.19 +69 08 43.9,Dra,AM+E,0.072656,17.6 - <21.0 V,286.77579166666663,69.14552777777779,ZTF18aaxcnxg,0.4284978933422673
V0574 Dra,000-BJZ-622,18 45 42.62 +48 31 30.8,Dra,AM+E,0.054908,16.6 - 21.3 B,281.4275833333333,48.52522222222222,ZTF20aaodweh,0.7494003128507241
HY Eri,000-BBH-780,05 01 46.41 -03 59 20.6,Eri,AM+E,0.11896906,16.0 - 22.7 V,75.44337499999999,-3.989055555555556,ZTF19aalfvlz,0.1106063676340173
UZ For,000-BCV-924,03 35 28.64 -25 44 21.8,For,AM+E,0.0878654325,17.0 - 20.9 V,53.86933333333333,-25.73938888888889,ZTF18acuajcr,0.2941021083766166
AM Her,000-BCB-802,18 16 13.25 +49 52 04.8,Her,AM+E,0.128927,12.3 - 15.7 V,274.05520833333327,49.868,ZTF19aanvjhb,1.271476451190906
MN Hya,000-BCW-128,09 29 07.04 -24 05 05.5,Hya,AM+E,0.14124373,16.1 - 20 CV,142.2793333333333,-24.08486111111111,ZTF19aamucki,0.2288324894155443
DP Leo,000-BDS-869,11 17 15.92 +17 57 41.7,Leo,AM+E,0.06236285650,17.4 - 20.2 CV,169.31633333333332,17.961583333333333,ZTF18aabpoqs,0.3415830458607995
EU Lyn,000-BFT-058,07 52 40.45 +36 28 23.3,Lyn,AM+E,0.1142,17.6 - 19.5 V,118.16854166666666,36.47313888888889,ZTF18abztpda,0.0977767285003747
V2301 Oph,000-BCW-555,18 00 35.53 +08 10 13.9,Oph,AM+E,0.07845,14.7 - 22.0 V,270.14804166666664,8.170527777777778,ZTF18abcpwci,1.089849252786717
V1309 Ori,000-BCW-620,05 15 41.41 +01 04 40.5,Ori,AM+E,0.332612,15.2 - 18.2 V,78.92254166666665,1.0779166666666666,ZTF17aaaryjg,0.1988588199403521
PTF1 J2152+19,--,21 52 56.10 +19 16 58.1,Peg,AM+E,0.16297506,16.3 - 19.7 CV,328.23375,19.282805555555555,ZTF18abadjvf,1.3881584454202782
BS Tri,000-BFT-506,02 09 29.82 +28 32 29.4,Tri,AM+E,0.06685,16.5 - 21.5 V,32.37425,28.541500000000003,ZTF18aaaeozg,0.6391874805692459
AN UMa,000-BBR-959,11 04 25.65 +45 03 13.8,UMa,AM+E,0.07975274,14.5 - 19.3 V,166.10687499999997,45.05383333333333,ZTF17aabxhpg,1.366712404760911
VV Pup,000-BBP-388,08 15 06.79 -19 03 17.7,Pup,AM+ELL,0.0697468256,13.9 - 19.6 V,123.77829166666665,-19.054916666666667,ZTF19aaerhgx,1.9062522636826649
QR And,000-BBB-466,00 19 49.93 +21 56 52.1,And,CBSS+E,0.660451,11.4 - 13.2 V,4.958041666666666,21.947805555555554,ZTF18abpumun,0.5720254885742151
2MASS J01203669+4923599,000-BPK-944,01 20 36.69 +49 24 00.2,And,CV,--,17.1 - 18.1 r,20.152874999999995,49.400055555555554,ZTF18aabfarp,0.2077798105484334
BMAM-V704,000-BNP-234,02 15 34.86 +49 20 04.1,And,CV,--,17.2 - 21.4 g,33.89525,49.33447222222223,ZTF18abnzpcu,0.49510486126615
BMAM-V799,000-BNS-623,00 13 01.60 +41 20 39.2,And,CV,--,17.7 - 21.2 g,3.2566666666666664,41.34422222222222,ZTF18abtcgjs,0.5396746372457049
LAMOST J234332.25+453924.2,--,23 43 32.26 +45 39 24.3,And,CV,--,19.0 - 20.8 g,355.8844166666666,45.65675,ZTF20abmbzpi,0.5363207888324542
ZTF17aabumcd,--,00 34 17.70 +43 45 39.3,And,CV,--,17.4 - 21.0 g,8.573749999999999,43.76091666666667,ZTF17aabumcd,0.1111601484034624
ZTF18abiuzar,--,00 07 39.31 +45 40 50.7,And,CV,--,18.8 - 21.8 r,1.9137916666666663,45.68075,ZTF18abiuzar,0.1428473280972933
ZTF18abwxaix,--,01 10 28.36 +34 49 56.8,And,CV,--,18.6 - 21.7 g,17.618166666666667,34.83244444444445,ZTF18abwxaix,0.3288592456751948
ZTF18accbuhi,--,00 36 15.24 +38 51 31.8,And,CV,--,18.5 - 23.0 g,9.063499999999998,38.85883333333334,ZTF18accbuhi,0.1898669740160576
ZTF19aczlxwf,--,00 05 44.28 +36 49 45.5,And,CV,--,17.9 - 18.5 g,1.4345,36.82930555555556,ZTF19aczlxwf,0.6826127414838467
MLS 100902:233939-053305,--,23 39 38.75 -05 33 05.3,Aqr,CV,0.193098,17.8 - 21.7: CV,354.91145833333326,-5.551472222222222,ZTF18accqcwt,0.0897149962461994
SDSS J204643.30-000630.2,000-BLR-797,20 46 43.28 -00 06 30.1,Aqr,CV,--,18.0 r (0.3)CV,311.68033333333324,-0.1083611111111111,ZTF18abvvtdv,0.1215524229652725
Gaia19fdm,000-BNH-716,19 40 42.34 -01 57 40.2,Aql,CV,--,17.7 - 21.3 r,295.1764166666666,-1.9611666666666667,ZTF18abtinpl,0.1165533307630627
Gaia21edr,000-BPC-657,19 29 13.95 +06 40 19.8,Aql,CV,--,17.5 - 20.0 g,292.308125,6.672166666666667,ZTF18abfxckk,0.067408984415069
IPHAS J185647.14+070055.3,000-BFV-058,18 56 47.14 +07 00 55.4,Aql,CV,0.0823262,17.197 (0.153) r,284.19641666666666,7.0153888888888885,ZTF19aaimpde,0.4464640284283703
MG1 1818424,000-BPL-612,20 11 35.95 +02 54 35.3,Aql,CV,--,16.3 - 18.5 r,302.89979166666666,2.909805555555556,ZTF18abudroz,0.2083246886095356
MGAB-V1125,000-BNS-701,19 54 54.30 +15 37 59.6,Aql,CV,0.0623157,18.9 - 21.9 g,298.72624999999994,15.633222222222225,ZTF18abbnxlu,0.2603854537564231
MGAB-V801,--,19 29 53.93 +09 35 47.6,Aql,CV,--,16.8 - 20.6 r,292.4747083333333,9.596555555555556,ZTF18aazurmd,0.190388689942816
MGAB-V850,--,19 48 55.41 +11 34 58.3,Aql,CV,--,17.0 - 20.1 g,297.230875,11.58286111111111,ZTF18abmhqur,0.0530583057390965
ZTF18abajebz,--,18 50 50.00 +11 00 38.5,Aql,CV,--,16.9 - 19.5 g,282.7083333333333,11.010694444444445,ZTF18abajebz,0.1768046282719032
ZTF18abjhbor,--,19 42 19.82 +03 43 27.5,Aql,CV,--,18.4 - 21.2 r,295.5825833333333,3.724305555555556,ZTF18abjhbor,0.2458291736442853
ZTF18abkhgfg,--,19 26 33.86 +16 02 20.3,Aql,CV,--,16.9 - 20.3 g,291.6410833333333,16.038972222222224,ZTF18abkhgfg,0.0559189802338115
ZTF18abkhkyo,--,19 45 50.63 +07 55 45.2,Aql,CV,--,17.3 - 18.3 g,296.4609583333333,7.929222222222222,ZTF18abkhkyo,0.222171523588451
ZTF18abnmtwb,--,20 12 11.21 -07 42 15.7,Aql,CV,--,17.7 - 20.9 r,303.0467083333333,-7.704361111111111,ZTF18abnmtwb,0.0970007104497588
ZTF18abnudvw,--,20 04 20.95 +11 32 47.2,Aql,CV,--,18.5 - 20.0 g,301.0872916666666,11.546444444444443,ZTF18admoeob,0.0877453378069177
